iter: 2000, rank1: 0.523, rank10: 0.779, rank20: 0.831, rank30: 0.856, rank40: 0.872, rank50: 0.885
iter: 4000, rank1: 0.632, rank10: 0.849, rank20: 0.886, rank30: 0.903, rank40: 0.916, rank50: 0.923
iter: 6000, rank1: 0.760, rank10: 0.922, rank20: 0.944, rank30: 0.954, rank40: 0.960, rank50: 0.965
iter: 8000, rank1: 0.740, rank10: 0.909, rank20: 0.935, rank30: 0.947, rank40: 0.955, rank50: 0.960
iter: 10000, rank1: 0.664, rank10: 0.873, rank20: 0.907, rank30: 0.925, rank40: 0.934, rank50: 0.941
iter: 12000, rank1: 0.736, rank10: 0.904, rank20: 0.928, rank30: 0.942, rank40: 0.951, rank50: 0.955
iter: 14000, rank1: 0.831, rank10: 0.951, rank20: 0.965, rank30: 0.972, rank40: 0.976, rank50: 0.979
iter: 16000, rank1: 0.814, rank10: 0.949, rank20: 0.965, rank30: 0.971, rank40: 0.975, rank50: 0.977
iter: 18000, rank1: 0.855, rank10: 0.957, rank20: 0.970, rank30: 0.976, rank40: 0.980, rank50: 0.982
iter: 20000, rank1: 0.842, rank10: 0.955, rank20: 0.968, rank30: 0.975, rank40: 0.978, rank50: 0.982
iter: 22000, rank1: 0.860, rank10: 0.962, rank20: 0.974, rank30: 0.978, rank40: 0.981, rank50: 0.983
iter: 24000, rank1: 0.859, rank10: 0.961, rank20: 0.972, rank30: 0.979, rank40: 0.982, rank50: 0.984
iter: 26000, rank1: 0.885, rank10: 0.971, rank20: 0.980, rank30: 0.984, rank40: 0.986, rank50: 0.987
iter: 28000, rank1: 0.884, rank10: 0.971, rank20: 0.979, rank30: 0.983, rank40: 0.986, rank50: 0.988
iter: 30000, rank1: 0.878, rank10: 0.969, rank20: 0.978, rank30: 0.983, rank40: 0.985, rank50: 0.986
