iter: 2000, rank1: 0.582, rank10: 0.823, rank20: 0.866, rank30: 0.889, rank40: 0.901, rank50: 0.912
iter: 4000, rank1: 0.687, rank10: 0.884, rank20: 0.916, rank30: 0.929, rank40: 0.938, rank50: 0.944
iter: 6000, rank1: 0.791, rank10: 0.936, rank20: 0.955, rank30: 0.965, rank40: 0.970, rank50: 0.975
iter: 8000, rank1: 0.768, rank10: 0.924, rank20: 0.947, rank30: 0.957, rank40: 0.962, rank50: 0.967
iter: 10000, rank1: 0.695, rank10: 0.890, rank20: 0.922, rank30: 0.937, rank40: 0.945, rank50: 0.951
iter: 12000, rank1: 0.765, rank10: 0.919, rank20: 0.943, rank30: 0.954, rank40: 0.961, rank50: 0.965
iter: 14000, rank1: 0.852, rank10: 0.960, rank20: 0.973, rank30: 0.978, rank40: 0.981, rank50: 0.984
iter: 16000, rank1: 0.833, rank10: 0.957, rank20: 0.970, rank30: 0.976, rank40: 0.978, rank50: 0.981
iter: 18000, rank1: 0.870, rank10: 0.965, rank20: 0.977, rank30: 0.981, rank40: 0.983, rank50: 0.985
iter: 20000, rank1: 0.862, rank10: 0.964, rank20: 0.975, rank30: 0.980, rank40: 0.983, rank50: 0.985
iter: 22000, rank1: 0.879, rank10: 0.969, rank20: 0.978, rank30: 0.982, rank40: 0.986, rank50: 0.988
iter: 24000, rank1: 0.875, rank10: 0.968, rank20: 0.979, rank30: 0.983, rank40: 0.985, rank50: 0.986
iter: 26000, rank1: 0.899, rank10: 0.976, rank20: 0.983, rank30: 0.987, rank40: 0.989, rank50: 0.990
iter: 28000, rank1: 0.898, rank10: 0.976, rank20: 0.983, rank30: 0.987, rank40: 0.989, rank50: 0.990
iter: 30000, rank1: 0.891, rank10: 0.974, rank20: 0.982, rank30: 0.985, rank40: 0.987, rank50: 0.989
